seed,condition,seq_length,noise_rate,seq_id,queried_key,target_value,predicted_value,correct,distractor_leakage_events,mutex_violation_ticks,mean_firing_density
94212,active_associative,64,0.00,23,2,0,0,1,0,0,0.033679
98308,active_associative,64,0.00,24,11,1,1,1,0,0,0.040975
102404,active_associative,64,0.00,25,1,0,0,1,0,0,0.022423
106500,active_associative,64,0.00,26,13,0,0,1,0,0,0.033226
110596,active_associative,64,0.00,27,14,0,0,1,0,0,0.031756
114692,active_associative,64,0.00,28,6,1,1,1,0,0,0.033396
118788,active_associative,64,0.00,29,2,0,0,1,0,0,0.024403
122884,active_associative,64,0.00,30,2,0,0,1,0,0,0.029210
126980,active_associative,64,0.00,31,8,1,1,1,0,0,0.029380
131076,active_associative,64,0.00,32,12,0,0,1,0,0,0.031190
135172,active_associative,64,0.00,33,12,0,0,1,0,0,0.038486
139268,active_associative,64,0.00,34,4,0,0,1,0,0,0.031925
143364,active_associative,64,0.00,35,2,0,0,1,0,0,0.030907
147460,active_associative,64,0.00,36,0,1,1,1,0,0,0.031360
151556,active_associative,64,0.00,37,3,1,1,1,0,0,0.029154
155652,active_associative,64,0.00,38,6,1,1,1,0,0,0.030794
159748,active_associative,64,0.00,39,13,1,1,1,0,0,0.031303
163844,active_associative,64,0.00,40,10,1,1,1,0,0,0.024629
167940,active_associative,64,0.00,41,4,1,1,1,0,0,0.034584
172036,active_associative,64,0.00,42,4,1,1,1,0,0,0.032151
176132,active_associative,64,0.00,43,8,0,0,1,0,0,0.029154
180228,active_associative,64,0.00,44,14,0,0,1,0,0,0.024459
184324,active_associative,64,0.00,45,12,0,0,1,0,0,0.028418
188420,active_associative,64,0.00,46,5,0,0,1,0,0,0.033509
192516,active_associative,64,0.00,47,13,0,0,1,0,0,0.033283
196612,active_associative,64,0.00,48,4,1,1,1,0,0,0.032095
200708,active_associative,64,0.00,49,9,1,1,1,0,0,0.033170
204804,active_associative,64,0.00,50,7,0,0,1,0,0,0.031133
4101,active_associative,64,0.00,1,0,1,1,1,0,0,0.030228
8197,active_associative,64,0.00,2,9,0,0,1,0,0,0.030851
12293,active_associative,64,0.00,3,9,0,0,1,0,0,0.030455
16389,active_associative,64,0.00,4,11,0,0,1,0,0,0.033622
20485,active_associative,64,0.00,5,4,0,0,1,0,0,0.026269
24581,active_associative,64,0.00,6,2,0,0,1,0,0,0.034301
28677,active_associative,64,0.00,7,3,1,1,1,0,0,0.031756
32773,active_associative,64,0.00,8,14,1,1,1,0,0,0.026608
36869,active_associative,64,0.00,9,6,0,0,1,0,0,0.027853
40965,active_associative,64,0.00,10,12,0,0,1,0,0,0.027344
45061,active_associative,64,0.00,11,12,1,1,1,0,0,0.027231
49157,active_associative,64,0.00,12,14,1,1,1,0,0,0.029719
